,ImageID,Synapse Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
29,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,209.0,60.0,AB7917,AB7917,F,cko,42
30,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,190.0,62.0,AB7917,AB7917,F,cko,42
31,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,181.0,64.0,AB7917,AB7917,F,cko,42
32,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,149.0,66.0,AB7917,AB7917,F,cko,42
33,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,134.0,68.0,AB7917,AB7917,F,cko,42
34,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,137.0,70.0,AB7917,AB7917,F,cko,42
35,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,113.0,72.0,AB7917,AB7917,F,cko,42
36,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,118.0,74.0,AB7917,AB7917,F,cko,42
37,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,107.0,76.0,AB7917,AB7917,F,cko,42
38,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,103.0,78.0,AB7917,AB7917,F,cko,42
39,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,112.0,80.0,AB7917,AB7917,F,cko,42
40,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,95.0,82.0,AB7917,AB7917,F,cko,42
41,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,92.0,84.0,AB7917,AB7917,F,cko,42
42,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,102.0,86.0,AB7917,AB7917,F,cko,42
