Genotype,Animal,Normalized distance from pia (%),Synapse Counts
ctrl,AB7924,66.0,135.66666666666666
ctrl,AB7924,68.0,135.66666666666666
ctrl,AB7924,70.0,126.0
ctrl,AB7924,72.0,124.33333333333333
ctrl,AB7924,74.0,109.0
ctrl,AB7924,76.0,121.0
ctrl,AB7924,78.0,98.33333333333333
ctrl,AB7924,80.0,99.0
ctrl,AB7924,82.0,91.66666666666667
ctrl,AB7924,84.0,112.33333333333333
ctrl,AB7924,86.0,96.33333333333333
ctrl,AB7924,88.0,71.0
ctrl,AB7924,90.0,50.333333333333336
ctrl,AB7924,92.0,38.666666666666664
ctrl,AB7924,94.0,29.0
ctrl,AB7924,96.0,16.333333333333332
ctrl,AB7924,98.0,0.0
ctrl,AB7927,2.0,63.0
ctrl,AB7927,4.0,107.66666666666667
ctrl,AB7927,6.0,157.33333333333334
ctrl,AB7927,8.0,142.66666666666666
ctrl,AB7927,10.0,126.0
ctrl,AB7927,12.0,111.66666666666667
ctrl,AB7927,14.0,109.0
ctrl,AB7927,16.0,110.33333333333333
ctrl,AB7927,18.0,119.33333333333333
ctrl,AB7927,20.0,121.33333333333333
ctrl,AB7927,22.0,102.33333333333333
ctrl,AB7927,24.0,102.0
ctrl,AB7927,26.0,104.0
ctrl,AB7927,28.0,101.33333333333333
ctrl,AB7927,30.0,108.0
ctrl,AB7927,32.0,90.66666666666667
ctrl,AB7927,34.0,118.66666666666667
ctrl,AB7927,36.0,112.33333333333333
ctrl,AB7927,38.0,106.0
ctrl,AB7927,40.0,98.66666666666667
ctrl,AB7927,42.0,102.66666666666667
ctrl,AB7927,44.0,98.33333333333333
ctrl,AB7927,46.0,92.0
ctrl,AB7927,48.0,100.0
ctrl,AB7927,50.0,102.66666666666667
ctrl,AB7927,52.0,106.66666666666667
ctrl,AB7927,54.0,113.33333333333333
ctrl,AB7927,56.0,124.66666666666667
ctrl,AB7927,58.0,121.33333333333333
ctrl,AB7927,60.0,114.66666666666667
ctrl,AB7927,62.0,117.0
ctrl,AB7927,64.0,127.33333333333333
ctrl,AB7927,66.0,109.66666666666667
ctrl,AB7927,68.0,113.33333333333333
ctrl,AB7927,70.0,104.33333333333333
ctrl,AB7927,72.0,106.66666666666667
ctrl,AB7927,74.0,110.66666666666667
ctrl,AB7927,76.0,110.0
ctrl,AB7927,78.0,106.66666666666667
ctrl,AB7927,80.0,116.0
ctrl,AB7927,82.0,110.66666666666667
ctrl,AB7927,84.0,91.66666666666667
ctrl,AB7927,86.0,89.0
ctrl,AB7927,88.0,87.66666666666667
ctrl,AB7927,90.0,95.33333333333333
ctrl,AB7927,92.0,80.0
ctrl,AB7927,94.0,58.0
ctrl,AB7927,96.0,43.666666666666664
ctrl,AB7927,98.0,6.0
ctrl,AB7928,2.0,11.0
ctrl,AB7928,4.0,21.666666666666668
ctrl,AB7928,6.0,42.666666666666664
ctrl,AB7928,8.0,44.333333333333336
ctrl,AB7928,10.0,62.333333333333336
ctrl,AB7928,12.0,53.0
ctrl,AB7928,14.0,53.333333333333336
ctrl,AB7928,16.0,61.333333333333336
ctrl,AB7928,18.0,64.66666666666667
ctrl,AB7928,20.0,67.33333333333333
ctrl,AB7928,22.0,76.66666666666667
ctrl,AB7928,24.0,71.33333333333333
ctrl,AB7928,26.0,76.33333333333333
ctrl,AB7928,28.0,75.0
ctrl,AB7928,30.0,86.66666666666667
ctrl,AB7928,32.0,79.33333333333333
ctrl,AB7928,34.0,100.66666666666667
ctrl,AB7928,36.0,81.0
ctrl,AB7928,38.0,89.0
ctrl,AB7928,40.0,95.33333333333333
ctrl,AB7928,42.0,70.33333333333333
ctrl,AB7928,44.0,75.66666666666667
ctrl,AB7928,46.0,93.66666666666667
ctrl,AB7928,48.0,125.66666666666667
ctrl,AB7928,50.0,133.0
ctrl,AB7928,52.0,124.66666666666667
ctrl,AB7928,54.0,128.0
ctrl,AB7928,56.0,115.66666666666667
ctrl,AB7928,58.0,129.33333333333334
ctrl,AB7928,60.0,161.66666666666666
ctrl,AB7928,62.0,165.33333333333334
ctrl,AB7928,64.0,170.33333333333334
ctrl,AB7928,66.0,159.66666666666666
ctrl,AB7928,68.0,138.33333333333334
ctrl,AB7928,70.0,137.66666666666666
ctrl,AB7928,72.0,139.33333333333334
ctrl,AB7928,74.0,131.66666666666666
ctrl,AB7928,76.0,133.0
ctrl,AB7928,78.0,106.66666666666667
ctrl,AB7928,80.0,108.33333333333333
ctrl,AB7928,82.0,122.33333333333333
ctrl,AB7928,84.0,101.0
ctrl,AB7928,86.0,116.0
ctrl,AB7928,88.0,96.0
ctrl,AB7928,90.0,78.0
ctrl,AB7928,92.0,67.66666666666667
ctrl,AB7928,94.0,59.666666666666664
ctrl,AB7928,96.0,38.333333333333336
ctrl,AB7928,98.0,3.0
